listing,vendor,original_category,type of product,drug detail,escrow,vendor rating,vendor membership,origin,destination,price_in_usd,quantity,description
"

NN-DMT Vape .5ML (500mg) Cart ~ VERY POTENT!!!,Mariolove,DMT AMT,cartridge,psychedelic,ESCROW,0.8, 2019-06-22,US,worldwide,9999,cartridge,"Highest Quality, Most Potent our ORGANIC DMT Vape Carts! (no chemicals used from growing the bush to putting it in the cartridge, all process is chemical free)

We have mastered the way of extracting DMT so we donêt have to use any toxic chemicals which makes everything easy, and yield to be significant bigger, we enjoy taking it slow. Our process takes about a week or so, as to compare to chemical way which lets you get DMT out of the plant in 1-2 days. PLEASE APPRECIATE AND ENJOY!

~Carts are top quality, no leaks, durable, and aesthetically pleasing.

~Carts are 500mg each!

~These are most potent carts from our arsenal, (newest-most expensive formula) it is double the potency from our regular best selling carts.

~Works well with most any battery, but works best with a battery with variable voltage and on around 3.7v, higher than 4v may risk burning out the coil in which case you can transfer the liquid to a new empty cart). You can buy a battery at your local vape shop for super cheap that works well, but dont get the cheapest one, as they sometimes dont make it hot enough to get a quick breakthrough, so extra hits or battery replacement needed.

~Weêve been assured all the DMT, which was extracted via root bark, was defatted, washed of impurities, recrystallized and finally aerated of all trace amounts of solvent. The result is no Naptha/ Heptane or worse in your lungs, and some of the smoothest vapor one can experience!

~Each cart was made with 4:1 ratio of DMT to PG, making break throughs achievable in 2-3 hits from almost any standard 510 battery.

~Itês a ceramic coil, so it can handle any voltage with the right threading, but for temp wise, 2.8V to 3.8V but no higher or lower.
"

10ml ** GIRL SCOUT COOKIES ** Vape THC Eliquid,GreenConnection,concentrate,eliquid,cannabis,ESCROW,1, 2019-06-25,spain,worldwide,65.81,10ml,"Eliquid for cigarette electronics make with GIRL SCOUT COOKIES strain.

Make with rosin. Potent and amazing flavor.

Each 5ml contained 0.5g of Girl Scout Cookies ROSIN/WAX

CARTS NOT INCLUDED. SHIPPED ON A LITTLE BOTTLE FOR REFILL YOUR CARTS.
"

100 Top quality ..Rove Carts ..Promo!,cordova ,weed,cartridge,cannabis,ESCROW,0.733, 2019-07-22,US,worldwide,1050,per unit,"WickrÄÄ. cordova56

Top quality carts available. High quality oil ! Exotics, Mario , Cereal , Supreme , dank vapes , and king pens Contact me below if u need some carts"

1x STIIIZY Full Gram Vape Pod | AUTHENTIC,GasStation,concentrate,vape pods,cannabis,ESCROW,1, 2019-04-22,US,US,34,per unit,"1x 1G Stiiizy Pod Authentic Stiiizy full gram vape pod, various flavors. Specify with address or will be sent at random.

Strain Request (We send what we have instock) :

Sativa :

Strawberry Cough, Premium Jack

Hybrid :

Pineapple Express, Strawnana, Grandaddy Purp,

Indica :

Hardcore OG, OG Kush
"

TUTTI FRUTTI CALISHATTERVALLEY 1ML VAPE CART,DrugsIncUK,concentrate,cartridge,cannabis,ESCROW,1, 2019-05-13,UK,UK,64.79,1ml,"As the name suggests, Tutti Frutti provides a blast of fruit flavor that sativa lovers will flock to. Flash Seeds has taken genetic traits from Blue Haze, Green Haze, Thai, and others, then mixed in a fast-finishing ruderalis to create an automatic flowering strain that provides potent euphoric effects. The effects are known to come on slow, so be patient with these uplifting buds."

MIX-N-MATCH Kingpen / Brass Knuckles / Mario Carts / Dank Vapes,FunkyFarms,concentrate,multiple ,cannabis,ESCROW BULK DISCOUNTS,1, 2019-06-14,US,worldwide,24.5,per unit,"Mix-n-match between the available options; please let us know your preferences when making the order and we will do our best to accomodate. High quality THC distillate cartridges, sourced straight from the manufacturer.
Mario Carts

Animal Cookies, Gushers, Fire OG, Gelato, Gorilla Glue, Durban Poison, Ghost OG, Strawberry Pie, and Wedding Cake.
Dank Vapes

Ace of Spades, Apple Jacks, Bubble Gum, Chemdog, Chernobyl, Cherry Pie, Cotton Candy, Dole Whip, GSC, Hindu Kush, Honey Dew, Jet Fuel OG, LA Confidential, Lemon Berry, Lemon Head, Lemon Slushie, Mai Tai, Mars OG, Mimosa, Northern Lights, Orange Chai, Orange Cookies, Orange Daiquiri, Peach, Pot of Gold, Russian Cream, Shark Shock, Strawnana, Sweet Aromatic, Vanilla Kush, Zkittlez.
Brass Knuckles

Blue Dream, Jack H, Maui, Sour Apple, Sour Diesel, Strawberry Cough, Tangie, Blueberry. Do-Si-Dos, Grape God, SFV OG, Skywalker OG, Tahoe OG, Banana OG, Frobidden Fruit, Gelato, GG4, GSC
Kingpen

Kingpen oil is made their own state-of-the-art manufacturing lab. It is distilled 5 times producing a high quality product that passes strict qualitative and quantitative tests. No PG, VG, PEG or other additives. Just the highest quality vape cartridges for the highest quality high. Their hardware maintains some of the lowest failure rates in the industry and our cartridges are engineered for smooth and consistent airflow.

Indicas: * King Louis OG * Purple Punch

Hybrids; * Trainwreck * Banana Sherbert * Jilly Bean * 3 Kings

Sativas: * Super Lemon Haze * Sour Diesel

Please inquire about our new vendor special When ordering, please request indica/hybrid/sativa and flavor preference at the time of ordering. We will do our best to fulfill requests depending on stock. We can accomodate indica vs sativa vs hybrid requests always; the flavors may vary."

Dank Vapes 1G (one gram) THC Distillate Carts *AUTHENTIC*,FunkyFarms,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,1, 2019-06-14,US,worldwide,25,per unit,"Dank Vapes

Ace of Spades, Apple Jacks, Bubble Gum, Chemdog, Chernobyl, Cherry Pie, Cotton Candy, Dole Whip, GSC, Hindu Kush, Honey Dew, Jet Fuel OG, LA Confidential, Lemon Berry, Lemon Head, Lemon Slushie, Mai Tai, Mars OG, Mimosa, Northern Lights, Orange Chai, Orange Cookies, Orange Daiquiri, Peach, Pot of Gold, Russian Cream, Shark Shock, Strawnana, Sweet Aromatic, Vanilla Kush, Zkittlez, and moreÄ

Please inquire about our new vendor special When ordering, please request indica/hybrid/sativa and flavor preference at the time of ordering. We will do our best to fulfill requests depending on stock. We can accomodate indica vs sativa vs hybrid requests always; the flavors may vary.
"

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE,Marinate,weed,multiple ,cannabis,ESCROW BULK DISCOUNTS,1, 2019-09-18,US,worldwide,20,per cart,"KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing orderÄÄ (wickrÄ. marinatelabs) email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, weêre offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got ROVE Dankvapes Exotic Mario Supreme King pens RAW Juul pods Stiizy Brass knuckles HeavyHitters and many moreÄ Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number. SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com wickr ID : marinatelabs kik id : marinatelabs
"

Crafted Extracts Full Spectrum Vape 1 Gram,valleyheat,concentrate,eliquid,cannabis,ESCROW BULK DISCOUNTS,1, 2019-05-13,US,US,58,per cart,"Full spectum oil from Crafted Extracts, very clean, very smooth. Top notch product. 1 Gram

Flavors- Grape Ape Watermelon Gourmet Apple Tropical Haze Tangie Jack Herer Pineapple Express White Widow Honeycomb OG Kush Presidental OG Skywalker Blueberry GG4 Holy Grail Blue Dream GDP Pink Champage Green Crack Strawberry Cough Northern Lights AK47
"

5ml ** NINA LIMONE ** Vape THC Eliquid,GreenConnection,concentrate,eliquid,cannabis,ESCROW,1, 2019-06-25,spain,worldwide,33.45,5ml,"Nina Limone by Colorado Seed Inc. is a stimulating citrus-heavy cross of Super Lemon Haze and Rebel God Smoke. While this strain produces beautiful, rich nuggets of hard, resinous flower, the yield is small and unsuitable for mass production, but may still be found in special, rare quantities. Instead, CO Seed Inc. bred a series of strains to capture and stabilize the tropical qualities of Nina Limone in tandem with strains like Gupta Kush, Flo, Hawaiian Sunrise, and Silver Back."

20ml ** Black Widow** Vape THC Eliquid Bottle,GreenConnection,concentrate,eliquid,synthetic cannabinoids,ESCROW,1, 2019-06-25,spain,worldwide,128.25,20ml,"Eliquid for cigarret electronics make with Black Widow strain.

Make with rosin. Potent and amazing flavor.

Each 5ml contained 0.5g of Black Widow ROSIN/WAX

CARTS NOT INCLUDED. SHIPPED ON A LITTLE BOTTLE FOR REFILL YOUR CARTS.
"

1 LB OF WHITE AND PINK RUNTZ,cordova ,weed,cartridge,cannabis,ESCROW,0.733, 2019-07-22,US,worldwide,1250,per unit,"WickrÄÄ. cordova56

Top quality carts available. High quality oil ! Exotics, Mario , Cereal , Supreme , dank vapes , and king pens Contact me below if u need some carts

WickrÄÄ. cordova56
"

1 Gram DMT Vape Cartridge (FE) 10% Discount,Houselannister2  ,DMT AMT,cartridge,psychedelic,ESCROW,1, 2019-07-29,US,US,80,per cartridge,"1 gram of very potent DMT, in a convenient vape cartridge that fits any 510 battery (Battery not included).

FE orders must be manually marked as received, prior to shipment
"

75% THC | PLATINUM OG Cannabis Vape Oil | 50ml,aKINDercare,concentrate,eliquid,cannabis,ESCROW,1, 2019-04-28,US,US,475,50ml,"STRAIN: PLATINUM OG | [75% Indica / 25% Sativa] | [hybrid]

ATTRIBUTES: relaxed, sleepu, euphoric, happy, hungry

MEDICAL BENEFITS: Insomnia, Stress, Depression, Pain, Headaches

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

PLATINUM OG

Platinum OGês effects tend to start out high, elevating and easing the mind, but they quickly turn low often having a sedative effect on users and should be used with caution. Because of this it makes great night time medication for depression, stress and anxiety. The narcotic-like body buzz may also treat chronic pain, muscle spasms and insomnia. It may also help alleviate migraines and the effects of other mood disorders.

The taste of this strain may have users thinking they just bit into a pine cone. It can be grown both inside and outdoors.

Thanks for looking, contact us with any questions.

Take care of each other,

KINDercare
"

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE,Marinate,weed,multiple ,cannabis,ESCROW BULK DISCOUNTS,1, 2019-09-18,US,worldwide,20,per cart,"KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing orderÄÄ (wickrÄ. marinatelabs) email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, weêre offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got ROVE Dankvapes Exotic Mario Supreme King pens RAW Juul pods Stiizy Brass knuckles HeavyHitters and many moreÄ Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number. SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com wickr ID : marinatelabs kik id : marinatelabs
"

15 King Pens Available for Sale,cordova ,weed,vape pen,cannabis,ESCROW,0.733, 2019-07-22,US,worldwide,200,per unit,"WickrÄÄ. cordova56

Top quality carts available. High quality oil ! Exotics, Mario , Cereal , Supreme , dank vapes , and king pens Contact me below if u need some carts

WickrÄÄ. cordova56
"

50 smart carts available,Rstollplug,weed,cartridge,cannabis,ESCROW,1, 2019-10-02,US,worldwide,750,cartridge,"For more information you can contact me through WICKR wickrÄ..rstollplug3

AVAILABLE STRAINSÄ.
Grape Ape Kosher Kush G13 Master Kush Cinderella 99 Presidential OG Northern Lights Bubba Kush Zkittles Mango Kush Tahoe OG Blueberry Death Star Purple Urkle Bubble Gum Lavender Skywalker OG Hindu Kush Purple Haze Lemon Kush Amnesia Haze Cherry Pie chocolope Maui Waui Cheese Grape Ape Headband AK-47 Trainwreck Granddaddy Purple Girl Scout Cookies OG Kush Sour Diesel Blue Dream Green Crack Blue Cheese Pineapple Express Chemdawg ATF Holy Grail stardawg Grape Kandy Strawberry Cough Sour OG Blue Cookie Grapefruit Diesel And many more available in stock

Also got Cartridges like dank vape smart cart heavy hitters muha meds cereal cart exotic carts plug play Rove brand and many more

For more information you can contact me through WICKR wickrÄ..rstollplug3
"

kinpen vape cartridges,Samkelly,other narcotics,cartridge,cannabis,ESCROW,1, 2019-09-22,unknown,worldwide,4500,carton,"vape cartridges of high HTC and and without vitamin E well medicated and prescribed by doctors All strains available,indica sativa and hybrid with different flavors and without the dangerous vitamin E and with a high THC of 92%

We also have the following meds below available in stock now for auction; Pain/ Anxiety Pills Seconal Nembutal (Powder,Pills and Liquid form) Oxycotin / Oxycodone 10,20 a,40 and 80 mg Actavis Promethazine Codeine Purple Cough Syrup (16oz and 320z) Hydrocodone 10500, 10325 ,7.5750 mg Valium 10,15 and 20 mg Xanax 1 and 2 mg Dilaudid 2,4 and 8 mg Ritalin 5,10, 20 mg Percocet 7.5mg,5mg and 10mg Opana 20mg and 40mg Lorcet - (Hydrocodone Bitartrate/Acetaminophen) 10 mg/650 mg Midazolam 3mg Motrin 400mg and 600mg Norco - ( Hydrocodone Bitartrate/Acetaminophen ) 5 mg/325 mg Soma 350mg Tramadol (Ultram) 50mg Valium 2mg,5mg and 10mg Valium Roche Brand 10mg Voltaren 50mg and 100mg Adderall,Anaprox,Ansaid,Acephen Bupren , ex,Butrans Percocet,Phrenilin,Percodan Soma, , Subutex Cataflam,Celebrex Flexeril, Fentora .., Demerol,Daypro,Dilaudid Endocet Lorcet, L, ortab Ibudone Methadone,Morphine adderall 30mg adderall 20mg adderall 10mg oxycodone 30mg oxycodone 80mg Naprosyn , ,Norco Oxycontin, Opana Ritalin, RoxicodoneÂ Ultram Vicodin,Voltaren,Vicoprofen Cocaine, MDMA, 4-Methylaminorex, 4-MMC, MDPV, LSD, DMT, 5-MeOês PCP, Ketamine DXM powder, Dexedrine, Adderall, Nubain nalbuphine 20mg/ml, Onax, Lorazepam, Diazepam, Clonazepam, Alprazolam, Norco, Hydrocoden, Percocet, Xanax, Ritalin, Vicodin, Opana ER, Dilaudid, Buprenorphine, MS Contin, Morphine Vial, Hydromorphone Vials, Hydromprhone Pills, Oxymorphone ER, Oxymorphone IR pills, Roxy 30mg, Fentanyl, Fent Patches Gel, Fent pops Atiq 1200mcg, Fentora, 300ug Top quality bud,marijuana,weed,trees,
"

1ml 85% THC CHEESE TANK/CART - CANNABIS OIL,KannaMedsUk,concentrate,cartridge,synthetic cannabinoids,ESCROW,0.993, 2019-06-01,UK,selected,63.48,1 unit,"1 x 1ml 85 % THC-CART/TANK - CHEESE- CANNABIS OIL FREE POST

Premium THC Concentrate Vape Cart dab effect product. USA MEDICAL DISPENSARY GRADE THC

Purest, Cleanest & Strongest THC Oil on The Market!

Pre filled Cart (better vaping experience) 1ml of Premium oil. Organic & Natural THC Higher THC level Smoother Experience No paranoia De-waxed & Winterized No alcohol, No solvents, No butane, No preservatives, No Nicotine, No synthetics No waxes - Extra refined Oil == No more Blocked Coil!!===

Specially designed for vaping Thick THC oil Universal 510 Thread

LISTING IS FOR 1 X Ready to Vape CART

1 X Cartridge/ Atomizer 1 ml THC E-VAPE - Maximum strength

FREE FAST FIRST CLASS POSTAGE ON ALL ORDERS TO UK.

======= SUPER SAFE MYLAR PACKAGING======== === Discreet & Confidential ==== ==Easily fits through Letterbox== ===NO SIGN REQUIRED===

PLEASE NOTE: For security purposes this item will be labeled CBD in shipping package. However, you will receive the product as described in the listing and full spectrum THC cannabis oil.

Orders Shipped MON-FRI (1pm Cut-Off same day post)

Messaged responded within 24hrs Mon-Fri

As you can see from the images the oil is a wonderful light golden color.

====FLAVORS==== Flavors help to mask the smell of cannabis when vaping. Enjoy cannabis more discreetly when required. The taste is rather subtle and compliments the natural taste to the product. Flavors and original/ no flavor are the same strength. No difference on potency.

====FLAVORS AVAILABLE===== Strawberry (Strongest Flavor/Best Mask of Smell) / Grape / PINEAPPLE / BLUEBERRY / BANANA / ICE MINT / Original Unflavored (Natural Taste/No masking) /

PLEASE SPECIFY FLAVOR YOU WANT WHEN YOU SEND ADDRESS DETAILS. IF WE RECEIVE NO FLAVOR REQUEST WE WILL SEND YOU ORIGINAL.

WARNING: This is made for MAXIMUM STRENGTH! if you are not used to vaping or quality THC vape then please treat with respect and vape with caution until you find your tolerance

INSTRUCTIONS FOR USE: PLEASE READ BEFORE USE:

This THC CART is READY TO USE. DO NOT dilute with any other liquid, e liquid, flavoring ECT. Screw straight to vape battery (510 thread) best results with battery in range of 100-350mAh VAPE ON LOW WATTS USE LOW POWER vape battery or lower power option on your vape if variable. Too high power can damage the coil and destroy the THC! The cart is sold as disposable. No warranty is implied. It it designed to be disposed after the oil is finished. You can reuse but at your own risk. Cart is glass not plastic. Dual coil and designed especially for heavy/thick THC oil

NO WASTE. NO LEAVES. WAXES OR IMPURITIES IN THIS THC VAPE concentrate !
"

KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE,Marinate,weed,multiple ,cannabis,ESCROW BULK DISCOUNTS,1, 2019-09-18,US,worldwide,20,cart,"KINGPEN SUPREME ROVE JUUL DANK SMART RAW THC CARTS AVAILABLE

Please to specify the flavors when you place an order, You should talk to us on wickr for terms and conditions too before placing orderÄÄ (wickrÄ. marinatelabs) email: marinatechemlabs@gmail.com kik id : marinatelabs

For a limited time, weêre offering 1.1Gram Cartridges at a discounted price. Our oil cartridges are made with PREMIUM concentrates unlike 90% of the clones on the market nowadays. The oil is made in our own state-of-the-art manufacturing lab. It is distilled 5 times producing a high-quality product that passes strict qualitative and quantitative tests. We then add proprietary blends of terpenes to achieve the best flavor possible. No PG, VG, PEG or other additives.

Below are the available Brands.

We got ROVE Dankvapes Exotic Mario Supreme King pens RAW Juul pods Stiizy Brass knuckles HeavyHitters and many moreÄ Please specify the flavors when you place an order, otherwise we will ship you a flavor of our choice.

IMPORTANT: Due to high demands, the flavors you requested may be out of stock. We will substitute same type of strain (Indica, Sativa or Hybrid) if the flavors you requested are out of stock.

Shipping is from the US. Within the US is 24hours and outside using is 3 days. We give you a tracking number. SHIPPING: Stealth Package - Vacuum sealed thick plastic - Return address. - Express Delivery with tracking For all inquiries and orders, pls contact us via

marinatechemlabs@gmail.com wickr ID : marinatelabs kik id : marinatelabs
"

"SmartCart, Cookies Vape, King Pen SALE",GreenCurrency,concentrate,cartridge,cannabis,ESCROW BULK DISCOUNTS,0.79, 2019-08-03,US,US,20,1unit,"Dank, smooth, and potent! Great Value for both personal use and resell

SmartCart Flavors: Purple Punch Sour Diesel King Louis Wedding Cake Mimosa Banana OG Blue Cookies SOG

King Pen 1000mg Flavors: Skywalker OG Banana Sherbet Romulan Grape Jack Herer Three Kings Trainwreck Gelato

Cookies 500mg /w Integrated Battery: $15-17
"

"[NEW] THC Vape Oil Pen Cartridge 0.8g, as low as $14.86 [NEW]",CannabisNation,concentrate,multiple ,cannabis,ESCROW BULK DISCOUNTS,0.963, 2019-04-24,US,worldwide,17.09,1unit,"NOTE: If you forget to let us know your strain preference We will choose one for you.

?Strains we provide at the moment:
Hybrid: Girls Scout Cookies, Blue Dream, Fire OG
Sativa: Jack Herer, Sour Diesel, Lemon Haze
Indica: Master Kush, Jesus OG, Granddaddy Purple, Northern Lights

???Specifics: Capacity - 0.8g (0.8ml or 800mg)
Screw-on thread type - 510
Recommended mAh usage - 280mAh
Recommended voltage - from 3.0 to 4.5
ORGANIC - YES.
Leak-proof - YES
Smell-proof - YES
Pre-filled - YES Refillable - NO.
Nicotine - NO.
Tip material - High Quality Plastic
Average retail price per piece - $40-$100"

5g TANGIE / BHO SHATTER #CALI #MANARINE,CannabisFreund,concentrate,concentrate,cannabis,ESCROW,1, 2019-04-22,germany,europe,278.88,5g,"??????BUTANHONEYOIL/SHATTER/<80%THC??????

??Full Spectrum Butan Honey Oil ??Sativa/Indika Hybrid ??ôber 80% THC ??aus Tangie Blôten ??riecht und schmeckt enorm nach Mandarine ??medizinisches Cannabis ??wirkt energetisierend, euphorisch ??f_rdert die Kreativit_t, focussierend ??lindert Angstzust_nde, gegen Despression, Stress und Schmerz

Ein in den USA unter besten Bedingungen hergestelltes Full Spectrum Butan Honey Oil. Volles Spektrum bedeutet, dass neben dem Cannabinoid THC noch weitere Cannabidoide in hoher Konzentration enthalten sind, wie z.B. CBD, CBDa und THCa. Jedes Cannabinoid hat seine Eigenschaften und Einsatzgebiet. Neben einem angenehmen High hat das ƒl also einen hohen medizinischen Nutzen.

Wax, auch bekannt als Dab, Crumble, Sugar, Honeycomb und Budder wird unter der Verwendung von Butan (ein Flôssiggas) als L_sungsmittel fôr die Extraktion der wichtigsten Cannabinoide und Terpene aus den Cannabisblôten hergestellt. Das daraus entstehende Gemisch wird dann zu einem Konzentrat verarbeitet, das ein bisschen wie Bienenwachs aussieht. Der Herstellungsprozess von Cannabis-Wax variiert und kann in einer Vielzahl verschiedener Produkte mit einzigartigen Beschaffenheiten und Farben resultieren. Per Vakuum werden die letzten Reste von Butangas entfernt, ein absolutes HQ Produkt.

Es gibt verschiedene Methoden, Cannabisextrakte wie Wax zu konsumieren. Bedenke, dass manche besonders flôssigen, klebrigen oder sonst wie hart zu handhabenden Wachse sich nicht sonderlich eignen, in einen Joint gemischt oder in einem Verdampfer oder einer Haschpfeife verwendet zu werden und sie k_nnen den Einsatz einer Dab- oder Oil-Rig erforderlich machen.

Allerdings kann man das Konzentrat in den Kôhlschrank legen, so erh_rtet es und man kann es besser handhaben. Gern br_sel ich mir so etwas oben in den Joint.

Haschpfeifen:

Es gibt einige neuere Haschpfeifen auf dem Markt, die es Konsumenten erm_glichen, ohne Probleme Konzentrate wie Wachse zu genie_en. Auf diese Art musst Du nicht in einen anspruchsvolleren (teureren) Verdampfer oder eine Rig investieren. Achte darauf, dass die von Dir gekaufte Pfeife speziell fôr l_semittelbasierte Extrakte und nicht nur fôr Kief oder normales Hasch geeignet ist.

Verdampfer:

Verdampfer sind die beste Option fôr alle, die den gesundheitsgef_hrdenden Risiken des Rauchens aus dem Weg gehen wollen. Obwohl Verdampfer traditionell nicht fôr Extrakte ausgelegt sind, k_nnen manche neuere Modelle dafôr verwendet werden.

Allerdings sind die meisten dieser Modelle tragbar und minderwertigeren Verdampfern wird nachgesagt, schlecht zu ziehen. Wahrscheinlich weil sie die hohen Temperaturen nicht erreichen k_nnen, die fôr das ordentliche Verdampfen von Konzentraten notwendig sind.

Dabbing:

Extrakte wie Wax werden oft als –Dabs” bezeichnet, da Dabbing die h_ufigste Art des Konsums ist. Dabbing umfasst die Verwendung spezieller Werkzeuge: Einem –Nagel”, einem Bunsenbrenner und einer Dab-Rig.

Der Nagel wird ôblicherweise mit dem Bunsenbrenner erhitzt (oder elektronisch, wenn Du einen E-Nail hast) und eine kleine Menge des Konzentrats wird auf der Spitze platziert. Der von der Hitze entwickelte Dampf wird dann mit einer speziellen Pfeife inhaliert, die oft Wasser als Filter verwendet.

Vapepen:

Ich kann den Puffco+V2 w_rmstens empfehlen, er hat eine Kammer fôr das BHO und alternativ auch ein Schraubgewinde, um Cartridges oder andere Eliquids zu konsumieren. Ein echter Hingucker und ein tolles Raucherlebnis.
"

1000 CARTS *SALE* 710 KINGPEN 1 GRAM THC VAPE CARTS,westcoastplug,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,8650,1000,"1000 1 Gram Carts

HIGHEST QUALITY FULL GRAM 710 KING PEN CARTRIDGES!

Please Specify Indica, Sativa or Hybrid. (if nothing specified I will choose)

Current in Stock (but subject to change):

Louie XIII Platinum OG Kush Blue Dream Cali-O Gelato Romulan Grapefruit

This pricing is for new vendor promotional sale, WILL NOT LAST LONG!
"

***25 CARTS*** ROVE FULL GRAM THC VAPE CARTS ***PROMO***,westcoastplug,concentrate,cartridge,cannabis,ESCROW,0.925, 2019-08-21,US,US,305,per pack,"25 Units Authentic ROVE Brand. Full Gram Variety of Flavors.

PREMIUM THC DISTILLATE NO ADDITIVES, NO HONEY CUT, NO PESTICIDES.

ROVE built the foundation of their company on honesty, simplicity, and transparency. Their mission is to provide customers with great tasting vape cartridges and reliable and dependable vape pens. Rove proudly stands opposed to the trend of exaggerated quality and misinformation within product test results. Rove wants their customers to know they have their best interests in mind with every single step they take. They strive for excellence and are dedicated to improvement.
"

Original dank vape without dangerous vitamin E,Samkelly,other pharma,cartridge,cannabis,ESCROW,1, 2019-09-22,unknown,worldwide,4000,per carton,"vape cartridges of all kinds and flavors without the dangerous vitamin E and with a high THC of 93% Prescribed by doctors and pharmacist. we sell only original carts and no black markets

